,loss,accuracy,val_loss,val_accuracy
0,0.5180807113647461,0.7667022347450256,0.4276508688926697,0.8666666746139526
1,0.31995800137519836,0.8710778951644897,0.31319811940193176,0.8786324858665466
2,0.22551532089710236,0.9065101146697998,0.18583641946315765,0.9299145340919495
3,0.19725434482097626,0.9237993359565735,0.170096293091774,0.9367521405220032
4,0.17217497527599335,0.9359658360481262,0.16646000742912292,0.9350427389144897
5,0.15806129574775696,0.9374600052833557,0.17265723645687103,0.9299145340919495
6,0.14750130474567413,0.9457843899726868,0.38888436555862427,0.8529914617538452
7,0.1438795030117035,0.9425827264785767,0.16614486277103424,0.9333333373069763
8,0.13478206098079681,0.9483457803726196,0.15263479948043823,0.9367521405220032
9,0.12929603457450867,0.9511206150054932,0.222978413105011,0.9196581244468689
10,0.12331247329711914,0.9560298919677734,0.1778593212366104,0.9333333373069763
11,0.11870095133781433,0.9543222784996033,0.14892719686031342,0.9418803453445435
12,0.11321520060300827,0.9588046669960022,0.17161208391189575,0.94017094373703
13,0.11077788472175598,0.9590181708335876,0.17078028619289398,0.9350427389144897
14,0.10539592802524567,0.9624332785606384,0.1462641805410385,0.9452991485595703
15,0.10063908249139786,0.9630736112594604,0.18132881820201874,0.9418803453445435
16,0.09307842701673508,0.966488778591156,0.17548204958438873,0.9350427389144897
17,0.09325074404478073,0.9669156670570374,0.1952686309814453,0.9350427389144897
18,0.08960305899381638,0.9681963920593262,0.1759202480316162,0.9384615421295166
19,0.08747798204421997,0.9684098362922668,0.16873730719089508,0.9435897469520569
20,0.08405669778585434,0.9681963920593262,0.14580461382865906,0.9435897469520569
21,0.07885179668664932,0.9722518920898438,0.15680669248104095,0.9452991485595703
22,0.08046778291463852,0.9701173901557922,0.15753377974033356,0.9452991485595703
23,0.07336562871932983,0.9741728901863098,0.14317379891872406,0.9470085501670837
24,0.07386000454425812,0.9737460017204285,0.16420897841453552,0.9384615421295166
25,0.068064846098423,0.9754535555839539,0.13905416429042816,0.9504273533821106
26,0.06334293633699417,0.9760938882827759,0.14065410196781158,0.9470085501670837
27,0.06561500579118729,0.9760938882827759,0.1836671680212021,0.9418803453445435
28,0.059325605630874634,0.9788687229156494,0.13429462909698486,0.952136754989624
29,0.05865885689854622,0.9805763363838196,0.14286695420742035,0.9487179517745972
30,0.05227230116724968,0.9818570017814636,0.1539895385503769,0.9470085501670837
31,0.0507599376142025,0.9820704460144043,0.1644531637430191,0.9470085501670837
32,0.05065535008907318,0.9827107787132263,0.17414793372154236,0.9418803453445435
33,0.04751316085457802,0.9833511114120483,0.1458304226398468,0.9487179517745972
34,0.043276652693748474,0.9846317768096924,0.15655501186847687,0.9435897469520569
35,0.04109278321266174,0.9854856133460999,0.14814981818199158,0.9487179517745972
36,0.04254121705889702,0.9854856133460999,0.2136288732290268,0.928205132484436
37,0.03768745809793472,0.9882603883743286,0.17421254515647888,0.9435897469520569
38,0.03963995352387428,0.9856990575790405,0.164175882935524,0.952136754989624
39,0.0325922854244709,0.9882603883743286,0.1491059809923172,0.9487179517745972
40,0.02977783791720867,0.9916755557060242,0.17287349700927734,0.9470085501670837
41,0.026582922786474228,0.9914621114730835,0.17962628602981567,0.9504273533821106
